indicador_canonico,coluna_encontrada_norm
contrap_efetivas,contrapefetivas
resultado_bruto,resultadobruto
resultado_liquido,resultadoliquido
ebit,ebit
ebitda,ebitda
divida_liquida,dividaliquida
resultado_financeiro_liquido,resultfinanceiroliquido
roa,roa
roe,roe
mlb,mlb
mll,mll
margem_ebit,margemebit
margem_ebitda,margemebitda
imob,imob
endiv,endiv
ce,ce
dm,dm
dc,dc
da,da
comb,comb
comba,comba
pcmr,pcmr
pmpe,pmpe
lg,lg
lc,lc
divida_bruta_ativos,dividabrutaativos
divida_liquida_ativos,dividaliquidaativos
divida_liquida_ebit,dividaliquidaebit
divida_liquida_ebitda,dividaliquidaebitda
pl_ativos,plativos
divida_bruta_pl,dividabrutapl
divida_liquida_pl,dividaliquidapl
gat,gat
