,coef_std,std_err,t,pval
const,0.394,32.582,0.012,0.99
contrapefetivas,-0.002,0.011,-0.227,0.82
resultadobruto,0.014,0.012,1.161,0.246
resultadoliquido,0.029,0.006,5.234,0.0
ebit,0.172,0.316,0.543,0.587
ebitda,-0.219,0.318,-0.687,0.492
dividaliquida,0.005,0.002,2.529,0.011
resultfinanceiroliquido,0.004,0.002,1.871,0.061
roa,-0.005,0.007,-0.695,0.487
roe,-0.012,0.017,-0.72,0.471
mlb,0.022,0.089,0.243,0.808
mll,44.915,154.447,0.291,0.771
margemebit,-121.019,912.933,-0.133,0.895
margemebitda,50.462,908.891,0.056,0.956
imob,-0.001,13.061,-0.0,1.0
endiv,-0.047,0.088,-0.532,0.595
ce,-0.002,0.005,-0.407,0.684
dm,0.007,0.046,0.157,0.875
dc,-19.887,81.933,-0.243,0.808
da,-1.964,7.818,-0.251,0.802
comb,-3.916,15.839,-0.247,0.805
comba,0.006,0.099,0.057,0.954
pcmr,-0.006,1.016,-0.006,0.995
pmpe,0.001,3626.621,0.0,1.0
lg,0.002,0.009,0.251,0.802
lc,-0.001,0.001,-0.849,0.396
dividabrutaativos,114.712,376.183,0.305,0.76
dividaliquidaativos,-114.248,376.253,-0.304,0.761
dividaliquidaebit,51.143,53.306,0.959,0.337
dividaliquidaebitda,-51.144,53.306,-0.959,0.337
plativos,-0.047,0.087,-0.543,0.587
dividabrutapl,3.619,22.117,0.164,0.87
dividaliquidapl,-4.082,21.881,-0.187,0.852
gat,0.017,149.93,0.0,1.0
